jdls,j,m,a,i,polluant1,polluant2,polluant3
mardi,1,1,2002,3,NO2,PM10,
mercredi,2,1,2002,3,NO2,PM10,
jeudi,3,1,2002,3,NO2,,
vendredi,4,1,2002,4,PM10,,
samedi,5,1,2002,6,PM10,,
dimanche,6,1,2002,7,PM10,,
lundi,7,1,2002,3,NO2,PM10,
mardi,8,1,2002,4,PM10,,
mercredi,9,1,2002,5,PM10,,
jeudi,10,1,2002,5,PM10,,
vendredi,11,1,2002,4,PM10,,
samedi,12,1,2002,3,NO2,PM10,
dimanche,13,1,2002,4,PM10,,
lundi,14,1,2002,4,PM10,,
mardi,15,1,2002,3,NO2,,
mercredi,16,1,2002,3,NO2,PM10,
jeudi,17,1,2002,3,NO2,PM10,
vendredi,18,1,2002,3,NO2,PM10,
samedi,19,1,2002,3,NO2,O3,
dimanche,20,1,2002,3,O3,PM10,
lundi,21,1,2002,3,NO2,,
mardi,22,1,2002,3,NO2,O3,PM10
mercredi,23,1,2002,3,NO2,O3,
jeudi,24,1,2002,3,O3,,
vendredi,25,1,2002,3,NO2,O3,PM10
samedi,26,1,2002,3,O3,,
dimanche,27,1,2002,3,O3,,
lundi,28,1,2002,3,NO2,O3,
mardi,29,1,2002,3,NO2,PM10,
mercredi,30,1,2002,4,PM10,,
jeudi,31,1,2002,3,NO2,O3,PM10
vendredi,1,2,2002,3,O3,,
samedi,2,2,2002,4,NO2,,
dimanche,3,2,2002,4,O3,,
lundi,4,2,2002,4,O3,,
mardi,5,2,2002,3,O3,,
mercredi,6,2,2002,3,NO2,O3,PM10
jeudi,7,2,2002,3,NO2,O3,PM10
vendredi,8,2,2002,3,NO2,,
samedi,9,2,2002,3,O3,,
dimanche,10,2,2002,3,O3,,
lundi,11,2,2002,3,O3,,
mardi,12,2,2002,3,PM10,,
mercredi,13,2,2002,4,PM10,,
jeudi,14,2,2002,3,O3,,
vendredi,15,2,2002,3,NO2,,
samedi,16,2,2002,3,NO2,PM10,
dimanche,17,2,2002,5,PM10,,
lundi,18,2,2002,3,NO2,PM10,
mardi,19,2,2002,3,NO2,O3,
mercredi,20,2,2002,3,O3,,
jeudi,21,2,2002,3,NO2,O3,PM10
vendredi,22,2,2002,3,O3,,
samedi,23,2,2002,3,O3,,
dimanche,24,2,2002,3,O3,,
lundi,25,2,2002,3,O3,,
mardi,26,2,2002,3,O3,,
mercredi,27,2,2002,3,O3,,
jeudi,28,2,2002,3,NO2,O3,
vendredi,1,3,2002,3,NO2,O3,PM10
samedi,2,3,2002,3,NO2,,
dimanche,3,3,2002,4,NO2,,
lundi,4,3,2002,4,NO2,PM10,
mardi,5,3,2002,4,PM10,,
mercredi,6,3,2002,3,NO2,O3,PM10
jeudi,7,3,2002,3,NO2,O3,PM10
vendredi,8,3,2002,5,NO2,PM10,
samedi,9,3,2002,3,NO2,O3,
dimanche,10,3,2002,4,O3,,
lundi,11,3,2002,4,NO2,,
mardi,12,3,2002,4,NO2,PM10,
mercredi,13,3,2002,4,PM10,,
jeudi,14,3,2002,4,NO2,,
vendredi,15,3,2002,3,NO2,O3,
samedi,16,3,2002,4,NO2,,
dimanche,17,3,2002,3,NO2,O3,
lundi,18,3,2002,3,O3,,
mardi,19,3,2002,4,NO2,,
mercredi,20,3,2002,2,NO2,O3,PM10
jeudi,21,3,2002,3,NO2,,
vendredi,22,3,2002,3,NO2,O3,PM10
samedi,23,3,2002,4,O3,,
dimanche,24,3,2002,4,O3,,
lundi,25,3,2002,4,NO2,,
mardi,26,3,2002,4,NO2,PM10,
mercredi,27,3,2002,4,NO2,PM10,
jeudi,28,3,2002,4,NO2,PM10,
vendredi,29,3,2002,5,NO2,O3,
samedi,30,3,2002,5,O3,,
dimanche,31,3,2002,5,O3,,
lundi,1,4,2002,5,O3,,
mardi,2,4,2002,5,PM10,,
mercredi,3,4,2002,5,NO2,O3,PM10
jeudi,4,4,2002,5,O3,PM10,
vendredi,5,4,2002,6,PM10,,
samedi,6,4,2002,5,PM10,,
dimanche,7,4,2002,4,O3,,
lundi,8,4,2002,4,O3,,
mardi,9,4,2002,4,O3,PM10,
mercredi,10,4,2002,5,O3,PM10,
jeudi,11,4,2002,5,PM10,,
vendredi,12,4,2002,6,PM10,,
samedi,13,4,2002,4,O3,,
dimanche,14,4,2002,4,O3,,
lundi,15,4,2002,4,NO2,O3,
mardi,16,4,2002,4,NO2,PM10,
mercredi,17,4,2002,4,NO2,O3,PM10
jeudi,18,4,2002,4,O3,,
vendredi,19,4,2002,4,O3,,
samedi,20,4,2002,4,NO2,O3,
dimanche,21,4,2002,5,O3,,
lundi,22,4,2002,6,NO2,O3,
mardi,23,4,2002,3,NO2,O3,PM10
mercredi,24,4,2002,5,O3,,
jeudi,25,4,2002,4,O3,PM10,
vendredi,26,4,2002,3,O3,,
samedi,27,4,2002,3,O3,,
dimanche,28,4,2002,4,O3,,
lundi,29,4,2002,4,O3,,
mardi,30,4,2002,4,O3,,
mercredi,1,5,2002,4,O3,,
jeudi,2,5,2002,3,NO2,O3,
vendredi,3,5,2002,4,O3,,
samedi,4,5,2002,4,O3,,
dimanche,5,5,2002,4,O3,,
lundi,6,5,2002,3,NO2,O3,
mardi,7,5,2002,4,O3,,
mercredi,8,5,2002,5,O3,,
jeudi,9,5,2002,5,PM10,,
vendredi,10,5,2002,3,NO2,PM10,
samedi,11,5,2002,4,PM10,,
dimanche,12,5,2002,4,O3,,
lundi,13,5,2002,4,O3,,
mardi,14,5,2002,4,O3,,
mercredi,15,5,2002,4,NO2,O3,
jeudi,16,5,2002,5,O3,,
vendredi,17,5,2002,5,O3,,
samedi,18,5,2002,4,O3,,
dimanche,19,5,2002,3,O3,,
lundi,20,5,2002,3,NO2,O3,
mardi,21,5,2002,4,O3,,
mercredi,22,5,2002,3,O3,,
jeudi,23,5,2002,4,O3,,
vendredi,24,5,2002,3,NO2,O3,
samedi,25,5,2002,4,O3,,
dimanche,26,5,2002,4,O3,,
lundi,27,5,2002,3,NO2,O3,
mardi,28,5,2002,3,O3,,
mercredi,29,5,2002,3,O3,,
jeudi,30,5,2002,4,O3,,
vendredi,31,5,2002,5,O3,,
samedi,1,6,2002,5,O3,,
dimanche,2,6,2002,7,O3,,
lundi,3,6,2002,4,NO2,O3,
mardi,4,6,2002,4,O3,,
mercredi,5,6,2002,3,NO2,O3,
jeudi,6,6,2002,4,O3,,
vendredi,7,6,2002,4,O3,,
samedi,8,6,2002,4,O3,,
dimanche,9,6,2002,3,O3,,
lundi,10,6,2002,3,O3,,
mardi,11,6,2002,3,O3,,
mercredi,12,6,2002,2,O3,PM10,
jeudi,13,6,2002,2,NO2,O3,PM10
vendredi,14,6,2002,4,O3,,
samedi,15,6,2002,4,O3,,
dimanche,16,6,2002,4,O3,,
lundi,17,6,2002,7,O3,,
mardi,18,6,2002,5,O3,,
mercredi,19,6,2002,4,O3,,
jeudi,20,6,2002,3,NO2,O3,PM10
vendredi,21,6,2002,5,O3,,
samedi,22,6,2002,3,NO2,O3,
dimanche,23,6,2002,4,O3,,
lundi,24,6,2002,4,O3,,
mardi,25,6,2002,5,O3,,
mercredi,26,6,2002,5,O3,,
jeudi,27,6,2002,4,O3,,
vendredi,28,6,2002,4,O3,,
samedi,29,6,2002,5,O3,,
dimanche,30,6,2002,4,O3,,
lundi,1,7,2002,2,NO2,O3,PM10
mardi,2,7,2002,2,NO2,O3,PM10
mercredi,3,7,2002,3,O3,,
jeudi,4,7,2002,3,O3,PM10,
vendredi,5,7,2002,3,O3,,
samedi,6,7,2002,3,O3,PM10,
dimanche,7,7,2002,4,O3,,
lundi,8,7,2002,5,O3,,
mardi,9,7,2002,3,O3,,
mercredi,10,7,2002,3,O3,,
jeudi,11,7,2002,3,O3,,
vendredi,12,7,2002,4,O3,,
samedi,13,7,2002,3,O3,,
dimanche,14,7,2002,4,O3,,
lundi,15,7,2002,4,O3,,
mardi,16,7,2002,5,O3,,
mercredi,17,7,2002,4,O3,,
jeudi,18,7,2002,4,O3,,
vendredi,19,7,2002,5,O3,,
samedi,20,7,2002,7,O3,,
dimanche,21,7,2002,4,O3,,
lundi,22,7,2002,5,O3,,
mardi,23,7,2002,3,NO2,O3,PM10
mercredi,24,7,2002,3,O3,,
jeudi,25,7,2002,4,O3,,
vendredi,26,7,2002,3,O3,,
samedi,27,7,2002,7,O3,,
dimanche,28,7,2002,8,O3,,
lundi,29,7,2002,9,O3,,
mardi,30,7,2002,5,O3,,
mercredi,31,7,2002,3,O3,,
jeudi,1,8,2002,4,O3,,
vendredi,2,8,2002,3,O3,,
samedi,3,8,2002,3,O3,,
dimanche,4,8,2002,4,O3,,
lundi,5,8,2002,4,O3,,
mardi,6,8,2002,5,O3,,
mercredi,7,8,2002,5,O3,,
jeudi,8,8,2002,4,O3,,
vendredi,9,8,2002,3,O3,,
samedi,10,8,2002,3,NO2,O3,
dimanche,11,8,2002,4,O3,,
lundi,12,8,2002,2,NO2,O3,PM10
mardi,13,8,2002,5,O3,,
mercredi,14,8,2002,5,O3,,
jeudi,15,8,2002,5,O3,,
vendredi,16,8,2002,6,O3,,
samedi,17,8,2002,7,O3,,
dimanche,18,8,2002,7,O3,,
lundi,19,8,2002,5,O3,,
mardi,20,8,2002,3,O3,,
mercredi,21,8,2002,3,O3,,
jeudi,22,8,2002,4,O3,,
vendredi,23,8,2002,4,O3,,
samedi,24,8,2002,5,O3,,
dimanche,25,8,2002,4,O3,,
lundi,26,8,2002,3,PM10,,
mardi,27,8,2002,3,NO2,O3,PM10
mercredi,28,8,2002,4,PM10,,
jeudi,29,8,2002,5,O3,,
vendredi,30,8,2002,4,NO2,O3,
samedi,31,8,2002,3,NO2,O3,
dimanche,1,9,2002,3,O3,,
lundi,2,9,2002,4,O3,,
mardi,3,9,2002,4,NO2,,
mercredi,4,9,2002,4,O3,,
jeudi,5,9,2002,4,O3,PM10,
vendredi,6,9,2002,4,O3,,
samedi,7,9,2002,3,O3,,
dimanche,8,9,2002,3,O3,,
lundi,9,9,2002,3,NO2,O3,
mardi,10,9,2002,3,NO2,O3,
mercredi,11,9,2002,3,NO2,O3,PM10
jeudi,12,9,2002,4,O3,PM10,
vendredi,13,9,2002,4,O3,,
samedi,14,9,2002,4,O3,PM10,
dimanche,15,9,2002,4,O3,,
lundi,16,9,2002,4,O3,,
mardi,17,9,2002,4,O3,,
mercredi,18,9,2002,5,O3,,
jeudi,19,9,2002,4,NO2,PM10,
vendredi,20,9,2002,4,NO2,,
samedi,21,9,2002,4,O3,,
dimanche,22,9,2002,3,O3,,
lundi,23,9,2002,3,NO2,O3,
mardi,24,9,2002,2,NO2,O3,PM10
mercredi,25,9,2002,3,NO2,PM10,
jeudi,26,9,2002,3,NO2,PM10,
vendredi,27,9,2002,3,NO2,O3,PM10
samedi,28,9,2002,3,NO2,O3,PM10
dimanche,29,9,2002,3,NO2,O3,
lundi,30,9,2002,5,NO2,,
mardi,1,10,2002,6,PM10,,
mercredi,2,10,2002,5,PM10,,
jeudi,3,10,2002,4,NO2,PM10,
vendredi,4,10,2002,3,NO2,O3,PM10
samedi,5,10,2002,3,NO2,O3,PM10
dimanche,6,10,2002,3,O3,,
lundi,7,10,2002,3,NO2,PM10,
mardi,8,10,2002,3,NO2,O3,PM10
mercredi,9,10,2002,3,NO2,PM10,
jeudi,10,10,2002,3,NO2,PM10,
vendredi,11,10,2002,4,PM10,,
samedi,12,10,2002,3,NO2,O3,PM10
dimanche,13,10,2002,3,NO2,O3,
lundi,14,10,2002,3,NO2,O3,PM10
mardi,15,10,2002,3,NO2,O3,PM10
mercredi,16,10,2002,3,NO2,O3,
jeudi,17,10,2002,3,O3,,
vendredi,18,10,2002,3,NO2,O3,
samedi,19,10,2002,3,NO2,PM10,
dimanche,20,10,2002,3,NO2,O3,
lundi,21,10,2002,3,NO2,,
mardi,22,10,2002,3,O3,,
mercredi,23,10,2002,3,O3,,
jeudi,24,10,2002,3,NO2,,
vendredi,25,10,2002,3,NO2,O3,
samedi,26,10,2002,3,NO2,O3,PM10
dimanche,27,10,2002,4,O3,,
lundi,28,10,2002,4,NO2,,
mardi,29,10,2002,3,NO2,PM10,
mercredi,30,10,2002,6,PM10,,
jeudi,31,10,2002,6,NO2,PM10,
vendredi,1,11,2002,3,NO2,,
samedi,2,11,2002,3,NO2,,
dimanche,3,11,2002,3,O3,,
lundi,4,11,2002,3,NO2,O3,PM10
mardi,5,11,2002,5,NO2,,
mercredi,6,11,2002,3,NO2,,
jeudi,7,11,2002,3,NO2,O3,
vendredi,8,11,2002,3,NO2,O3,
samedi,9,11,2002,3,NO2,O3,
dimanche,10,11,2002,3,NO2,,
lundi,11,11,2002,3,NO2,O3,
mardi,12,11,2002,2,NO2,O3,PM10
mercredi,13,11,2002,3,NO2,O3,
jeudi,14,11,2002,3,NO2,O3,
vendredi,15,11,2002,4,NO2,PM10,
samedi,16,11,2002,3,NO2,PM10,
dimanche,17,11,2002,3,NO2,PM10,
lundi,18,11,2002,3,NO2,PM10,
mardi,19,11,2002,3,NO2,,
mercredi,20,11,2002,3,NO2,PM10,
jeudi,21,11,2002,3,NO2,,
vendredi,22,11,2002,3,NO2,O3,
samedi,23,11,2002,3,NO2,,
dimanche,24,11,2002,3,NO2,,
lundi,25,11,2002,3,NO2,,
mardi,26,11,2002,3,NO2,PM10,
mercredi,27,11,2002,3,NO2,PM10,
jeudi,28,11,2002,3,NO2,PM10,
vendredi,29,11,2002,3,NO2,PM10,
samedi,30,11,2002,3,NO2,PM10,
dimanche,1,12,2002,3,O3,,
lundi,2,12,2002,3,NO2,O3,
mardi,3,12,2002,4,NO2,PM10,
mercredi,4,12,2002,3,NO2,PM10,
jeudi,5,12,2002,3,NO2,PM10,
vendredi,6,12,2002,3,PM10,,
samedi,7,12,2002,3,PM10,,
dimanche,8,12,2002,3,PM10,,
lundi,9,12,2002,3,PM10,,
mardi,10,12,2002,3,PM10,,
mercredi,11,12,2002,4,PM10,,
jeudi,12,12,2002,5,PM10,,
vendredi,13,12,2002,4,PM10,,
samedi,14,12,2002,3,NO2,,
dimanche,15,12,2002,3,O3,,
lundi,16,12,2002,3,NO2,PM10,
mardi,17,12,2002,3,PM10,,
mercredi,18,12,2002,3,PM10,,
