id,pouvoir,annee,camp,detail
0,presidence,1900,R,William McKinley
1,presidence,1901,R,Theodore Roosevelt
2,presidence,1902,R,Theodore Roosevelt
3,presidence,1903,R,Theodore Roosevelt
4,presidence,1904,R,Theodore Roosevelt
5,presidence,1905,R,Theodore Roosevelt
6,presidence,1906,R,Theodore Roosevelt
7,presidence,1907,R,Theodore Roosevelt
8,presidence,1908,R,Theodore Roosevelt
9,presidence,1909,R,William H. Taft
10,presidence,1910,R,William H. Taft
11,presidence,1911,R,William H. Taft
12,presidence,1912,R,William H. Taft
13,presidence,1913,D,T. Woodrow Wilson
14,presidence,1914,D,T. Woodrow Wilson
15,presidence,1915,D,T. Woodrow Wilson
16,presidence,1916,D,T. Woodrow Wilson
17,presidence,1917,D,T. Woodrow Wilson
18,presidence,1918,D,T. Woodrow Wilson
19,presidence,1919,D,T. Woodrow Wilson
20,presidence,1920,D,T. Woodrow Wilson
21,presidence,1921,R,Warren G. Harding
22,presidence,1922,R,Warren G. Harding
23,presidence,1923,R,J. Calvin Coolidge
24,presidence,1924,R,J. Calvin Coolidge
25,presidence,1925,R,J. Calvin Coolidge
26,presidence,1926,R,J. Calvin Coolidge
27,presidence,1927,R,J. Calvin Coolidge
28,presidence,1928,R,J. Calvin Coolidge
29,presidence,1929,R,Herbert C. Hoover
30,presidence,1930,R,Herbert C. Hoover
31,presidence,1931,R,Herbert C. Hoover
32,presidence,1932,R,Herbert C. Hoover
33,presidence,1933,D,Franklin D. Roosevelt
34,presidence,1934,D,Franklin D. Roosevelt
35,presidence,1935,D,Franklin D. Roosevelt
36,presidence,1936,D,Franklin D. Roosevelt
37,presidence,1937,D,Franklin D. Roosevelt
38,presidence,1938,D,Franklin D. Roosevelt
39,presidence,1939,D,Franklin D. Roosevelt
40,presidence,1940,D,Franklin D. Roosevelt
41,presidence,1941,D,Franklin D. Roosevelt
42,presidence,1942,D,Franklin D. Roosevelt
43,presidence,1943,D,Franklin D. Roosevelt
44,presidence,1944,D,Franklin D. Roosevelt
45,presidence,1945,D,Harry S. Truman
46,presidence,1946,D,Harry S. Truman
47,presidence,1947,D,Harry S. Truman
48,presidence,1948,D,Harry S. Truman
49,presidence,1949,D,Harry S. Truman
50,presidence,1950,D,Harry S. Truman
51,presidence,1951,D,Harry S. Truman
52,presidence,1952,D,Harry S. Truman
53,presidence,1953,R,Dwight D. Eisenhower
54,presidence,1954,R,Dwight D. Eisenhower
55,presidence,1955,R,Dwight D. Eisenhower
56,presidence,1956,R,Dwight D. Eisenhower
57,presidence,1957,R,Dwight D. Eisenhower
58,presidence,1958,R,Dwight D. Eisenhower
59,presidence,1959,R,Dwight D. Eisenhower
60,presidence,1960,R,Dwight D. Eisenhower
61,presidence,1961,D,John F. Kennedy
62,presidence,1962,D,John F. Kennedy
63,presidence,1963,D,Lyndon B. Johnson
64,presidence,1964,D,Lyndon B. Johnson
65,presidence,1965,D,Lyndon B. Johnson
66,presidence,1966,D,Lyndon B. Johnson
67,presidence,1967,D,Lyndon B. Johnson
68,presidence,1968,D,Lyndon B. Johnson
69,presidence,1969,R,Richard M. Nixon
70,presidence,1970,R,Richard M. Nixon
71,presidence,1971,R,Richard M. Nixon
72,presidence,1972,R,Richard M. Nixon
73,presidence,1973,R,Richard M. Nixon
74,presidence,1974,R,Gerald R. Ford
75,presidence,1975,R,Gerald R. Ford
76,presidence,1976,R,Gerald R. Ford
77,presidence,1977,D,Jimmy Carter
78,presidence,1978,D,Jimmy Carter
79,presidence,1979,D,Jimmy Carter
80,presidence,1980,D,Jimmy Carter
81,presidence,1981,R,Ronald W. Reagan
82,presidence,1982,R,Ronald W. Reagan
83,presidence,1983,R,Ronald W. Reagan
84,presidence,1984,R,Ronald W. Reagan
85,presidence,1985,R,Ronald W. Reagan
86,presidence,1986,R,Ronald W. Reagan
87,presidence,1987,R,Ronald W. Reagan
88,presidence,1988,R,Ronald W. Reagan
89,presidence,1989,R,George H. W. Bush
90,presidence,1990,R,George H. W. Bush
91,presidence,1991,R,George H. W. Bush
92,presidence,1992,R,George H. W. Bush
93,presidence,1993,D,Bill Clinton
94,presidence,1994,D,Bill Clinton
95,presidence,1995,D,Bill Clinton
96,presidence,1996,D,Bill Clinton
97,presidence,1997,D,Bill Clinton
98,presidence,1998,D,Bill Clinton
99,presidence,1999,D,Bill Clinton
100,presidence,2000,D,Bill Clinton
101,presidence,2001,R,George W. Bush
102,presidence,2002,R,George W. Bush
103,presidence,2003,R,George W. Bush
104,presidence,2004,R,George W. Bush
105,presidence,2005,R,George W. Bush
106,presidence,2006,R,George W. Bush
107,presidence,2007,R,George W. Bush
108,presidence,2008,R,George W. Bush
109,presidence,2009,D,Barack Obama
110,presidence,2010,D,Barack Obama
111,presidence,2011,D,Barack Obama
112,presidence,2012,D,Barack Obama
113,presidence,2013,D,Barack Obama
114,presidence,2014,D,Barack Obama
115,presidence,2015,D,Barack Obama
116,presidence,2016,D,Barack Obama
117,presidence,2017,R,Donald J. Trump
118,representants,1900,R,
119,representants,1901,R,
120,representants,1902,R,
121,representants,1903,R,
122,representants,1904,R,
123,representants,1905,R,
124,representants,1906,R,
125,representants,1907,R,
126,representants,1908,R,
127,representants,1909,R,
128,representants,1910,R,
129,representants,1911,D,
130,representants,1912,D,
131,representants,1913,D,
132,representants,1914,D,
133,representants,1915,D,
134,representants,1916,D,
135,representants,1917,R,
136,representants,1918,R,
137,representants,1919,R,
138,representants,1920,R,
139,representants,1921,R,
140,representants,1922,R,
141,representants,1923,R,
142,representants,1924,R,
143,representants,1925,R,
144,representants,1926,R,
145,representants,1927,R,
146,representants,1928,R,
147,representants,1929,R,
148,representants,1930,R,
149,representants,1931,D,
150,representants,1932,D,
151,representants,1933,D,
152,representants,1934,D,
153,representants,1935,D,
154,representants,1936,D,
155,representants,1937,D,
156,representants,1938,D,
157,representants,1939,D,
158,representants,1940,D,
159,representants,1941,D,
160,representants,1942,D,
161,representants,1943,D,
162,representants,1944,D,
