code_real,real,titre,année,num,code_titre,url_titre,votants,note
nm0452102,Abbas Kiarostami,The Experience,1973,1,tt0070766,http://m.imdb.com/title/tt0070766/,327,"7,1"
nm0452102,Abbas Kiarostami,The Traveler,1974,2,tt0071859,http://m.imdb.com/title/tt0071859/,789,"7,6"
nm0452102,Abbas Kiarostami,Lebassi Baraye Arossi,1976,3,tt0074782,http://m.imdb.com/title/tt0074782/,201,"7,2"
nm0452102,Abbas Kiarostami,The Report,1977,4,tt0076098,http://m.imdb.com/title/tt0076098/,382,"7,2"
nm0452102,Abbas Kiarostami,Where is the Friend's Home?,1987,5,tt0093342,http://m.imdb.com/title/tt0093342/,6188,"8,1"
nm0452102,Abbas Kiarostami,Close-Up,1990,6,tt0100234,http://m.imdb.com/title/tt0100234/,9654,"8,3"
nm0452102,Abbas Kiarostami,"Life, and Nothing More...",1992,7,tt0105888,http://m.imdb.com/title/tt0105888/,2688,8
nm0452102,Abbas Kiarostami,Through the Olive Trees,1994,8,tt0111845,http://m.imdb.com/title/tt0111845/,4074,"7,8"
nm0452102,Abbas Kiarostami,"À propos de Nice, la suite",1995,9,tt0206461,http://m.imdb.com/title/tt0206461/,48,"6,4"
nm0452102,Abbas Kiarostami,Taste of Cherry,1997,10,tt0120265,http://m.imdb.com/title/tt0120265/,15924,"7,7"
nm0452102,Abbas Kiarostami,The Wind Will Carry Us,1999,11,tt0209463,http://m.imdb.com/title/tt0209463/,5926,"7,6"
nm0452102,Abbas Kiarostami,Ten,2002,12,tt0301978,http://m.imdb.com/title/tt0301978/,5534,"7,5"
nm0452102,Abbas Kiarostami,Tickets,2005,13,tt0418239,http://m.imdb.com/title/tt0418239/,2162,7
nm0452102,Abbas Kiarostami,To Each His Own Cinema,2007,14,tt0973844,http://m.imdb.com/title/tt0973844/,3868,"6,8"
nm0452102,Abbas Kiarostami,Shirin,2008,15,tt1284587,http://m.imdb.com/title/tt1284587/,175,"6,8"
nm0452102,Abbas Kiarostami,Certified Copy,2010,16,tt1020773,http://m.imdb.com/title/tt1020773/,15694,"7,2"
nm0452102,Abbas Kiarostami,Like Someone in Love,2012,17,tt1843287,http://m.imdb.com/title/tt1843287/,7707,7
nm0452102,Abbas Kiarostami,Víctor Erice - Abbas Kiarostami: Correspondence,2016,18,tt5992200,http://m.imdb.com/title/tt5992200/,7,"6,3"
nm0444244,Abdellatif Kechiche,Poetical Refugee,2000,1,tt0239388,http://m.imdb.com/title/tt0239388/,616,7
nm0444244,Abdellatif Kechiche,Games of Love and Chance,2003,2,tt0338977,http://m.imdb.com/title/tt0338977/,246,"6,9"
nm0444244,Abdellatif Kechiche,The Secret of the Grain,2007,3,tt0487419,http://m.imdb.com/title/tt0487419/,5675,"7,4"
nm0444244,Abdellatif Kechiche,Sueur,2008,4,tt1867611,http://m.imdb.com/title/tt1867611/,25,"6,7"
nm0444244,Abdellatif Kechiche,Black Venus,2010,5,tt1401643,http://m.imdb.com/title/tt1401643/,198,"6,9"
nm0444244,Abdellatif Kechiche,Blue Is the Warmest Color,2013,6,tt2278871,http://m.imdb.com/title/tt2278871/,102817,"7,8"
nm0418450,Agnès Jaoui,The Taste of Others,2000,1,tt0216787,http://m.imdb.com/title/tt0216787/,8,"7,3"
nm0418450,Agnès Jaoui,Look at Me,2004,2,tt0374583,http://m.imdb.com/title/tt0374583/,4766,"6,9"
nm0418450,Agnès Jaoui,Let's Talk About the Rain,2008,3,tt1065332,http://m.imdb.com/title/tt1065332/,1504,"6,1"
nm0418450,Agnès Jaoui,Under the Rainbow,2013,4,tt2241691,http://m.imdb.com/title/tt2241691/,105,"5,9"
nm0000041,Akira Kurosawa,Uma,1941,1,tt0034333,http://m.imdb.com/title/tt0034333/,88,"6,8"
nm0000041,Akira Kurosawa,Sanshiro Sugata,1943,2,tt0036400,http://m.imdb.com/title/tt0036400/,3257,"6,8"
nm0000041,Akira Kurosawa,Ichiban utsukushiku,1944,3,tt0036947,http://m.imdb.com/title/tt0036947/,1211,"5,8"
nm0000041,Akira Kurosawa,The Men Who Tread on the Tiger's Tail,1945,4,tt0038182,http://m.imdb.com/title/tt0038182/,2524,"6,8"
nm0000041,Akira Kurosawa,Zoku Sugata Sanshirô,1945,5,tt0038268,http://m.imdb.com/title/tt0038268/,1393,"6,1"
nm0000041,Akira Kurosawa,Waga seishun ni kuinashi,1946,6,tt0039090,http://m.imdb.com/title/tt0039090/,2121,"7,2"
nm0000041,Akira Kurosawa,Asu o tsukuru hitobito,1946,7,tt0038310,http://m.imdb.com/title/tt0038310/,116,"6,5"
nm0000041,Akira Kurosawa,One Wonderful Sunday,1947,8,tt0039871,http://m.imdb.com/title/tt0039871/,1951,"7,3"
nm0000041,Akira Kurosawa,Drunken Angel,1948,9,tt0040979,http://m.imdb.com/title/tt0040979/,731,"7,8"
