code_real,réalisateurs,classement,url
nm0452102,Abbas Kiarostami,BFI,http://m.imdb.com/name/nm0452102/filmotype/director
nm0000041,Akira Kurosawa,BFI,http://m.imdb.com/name/nm0000041/filmotype/director
nm0000033,Alfred Hitchcock,BFI,http://m.imdb.com/name/nm0000033/filmotype/director
nm0001789,Andreï Tarkovski,BFI,http://m.imdb.com/name/nm0001789/filmotype/director
nm0850601,Béla Tarr,BFI,http://m.imdb.com/name/nm0850601/filmotype/director
nm0000697,Billy Wilder,BFI,http://m.imdb.com/name/nm0000697/filmotype/director
nm0000036,Buster Keaton,BFI,http://m.imdb.com/name/nm0000036/filmotype/director
nm0003433,Carl Dreyer,BFI,http://m.imdb.com/name/nm0003433/filmotype/director
nm0001901,Chantal Akerman,BFI,http://m.imdb.com/name/nm0001901/filmotype/director
nm0000122,Charlie Chaplin,BFI,http://m.imdb.com/name/nm0000122/filmotype/director
nm0003408,Chris Marker,BFI,http://m.imdb.com/name/nm0003408/filmotype/director
nm0487351,Claude Lanzmann,BFI,http://m.imdb.com/name/nm0487351/filmotype/director
nm0000186,David Lynch,BFI,http://m.imdb.com/name/nm0000186/filmotype/director
nm0895048,Dziga Vertov,BFI,http://m.imdb.com/name/nm0895048/filmotype/director
nm0000338,Francis Ford Coppola,BFI,http://m.imdb.com/name/nm0000338/filmotype/director
nm0000076,François Truffaut,BFI,http://m.imdb.com/name/nm0000076/filmotype/director
nm0000019,Federico Fellini,BFI,http://m.imdb.com/name/nm0000019/filmotype/director
nm0003638,Friedrich Wilhelm Murnau,BFI,http://m.imdb.com/name/nm0003638/filmotype/director
nm0000485,Fritz Lang,BFI,http://m.imdb.com/name/nm0000485/filmotype/director
nm0690597,Gillo Pontecorvo,BFI,http://m.imdb.com/name/nm0690597/filmotype/director
nm0000005,Ingmar Bergman,BFI,http://m.imdb.com/name/nm0000005/filmotype/director
nm0004244,Jacques Tati,BFI,http://m.imdb.com/name/nm0004244/filmotype/director
nm0719756,Jean Renoir,BFI,http://m.imdb.com/name/nm0719756/filmotype/director
nm0897118,Jean Vigo,BFI,http://m.imdb.com/name/nm0897118/filmotype/director
nm0000419,Jean-Luc Godard,BFI,http://m.imdb.com/name/nm0000419/filmotype/director
nm0000406,John Ford,BFI,http://m.imdb.com/name/nm0000406/filmotype/director
nm0000217,Martin Scorsese,BFI,http://m.imdb.com/name/nm0000217/filmotype/director
nm0000774,Michelangelo Antonioni,BFI,http://m.imdb.com/name/nm0000774/filmotype/director
nm0003226,Mizoguchi Kenji,BFI,http://m.imdb.com/name/nm0003226/filmotype/director
nm0000080,Orson Welles,BFI,http://m.imdb.com/name/nm0000080/filmotype/director
nm0654868,Ozu Yasujiro,BFI,http://m.imdb.com/name/nm0654868/filmotype/director
nm0000975,Robert Bresson,BFI,http://m.imdb.com/name/nm0000975/filmotype/director
nm0744023,Roberto Rossellini,BFI,http://m.imdb.com/name/nm0744023/filmotype/director
nm0006249,Satyajit Ray,BFI,http://m.imdb.com/name/nm0006249/filmotype/director
nm0001178,Sergueï Eisenstein,BFI,http://m.imdb.com/name/nm0001178/filmotype/director
nm0002045,Stanley Donen,BFI,http://m.imdb.com/name/nm0002045/filmotype/director
nm0000040,Stanley Kubrick,BFI,http://m.imdb.com/name/nm0000040/filmotype/director
nm0939182,Wong Kar-Wai,BFI,http://m.imdb.com/name/nm0939182/filmotype/director
nm0167241,Henri-Georges Clouzot,Cannes,http://m.imdb.com/name/nm0167241/filmotype/director
nm0000320,Luis Buñuel,Cannes,http://m.imdb.com/name/nm0000320/filmotype/director
nm0899581,Luchino Visconti,Cannes,http://m.imdb.com/name/nm0899581/filmotype/director
nm0218840,Jacques Demy,Cannes,http://m.imdb.com/name/nm0218840/filmotype/director
nm0504513,Richard Lester,Cannes,http://m.imdb.com/name/nm0504513/filmotype/director
nm0500988,Claude Lelouch,Cannes,http://m.imdb.com/name/nm0500988/filmotype/director
nm0314584,Pietro Germi,Cannes,http://m.imdb.com/name/nm0314584/filmotype/director
nm0000755,Lindsay Anderson,Cannes,http://m.imdb.com/name/nm0000755/filmotype/director
nm0000265,Robert Altman,Cannes,http://m.imdb.com/name/nm0000265/filmotype/director
nm0002020,Costa-Gavras,Cannes,http://m.imdb.com/name/nm0002020/filmotype/director
nm0000694,Wim Wenders,Cannes,http://m.imdb.com/name/nm0000694/filmotype/director
nm0001437,Emir Kusturica,Cannes,http://m.imdb.com/name/nm0001437/filmotype/director
nm0681207,Maurice Pialat,Cannes,http://m.imdb.com/name/nm0681207/filmotype/director
nm0001752,Steven Soderbergh,Cannes,http://m.imdb.com/name/nm0001752/filmotype/director
nm0001054,Joel & Ethan Coen,Cannes,http://m.imdb.com/name/nm0001054/filmotype/director
nm0001005,Jane Campion,Cannes,http://m.imdb.com/name/nm0001005/filmotype/director
nm0000233,Quentin Tarantino,Cannes,http://m.imdb.com/name/nm0000233/filmotype/director
nm0201094,Luc et Jean-Pierre Dardenne,Cannes,http://m.imdb.com/name/nm0201094/filmotype/director
nm0001885,Lars von Trier,Cannes,http://m.imdb.com/name/nm0001885/filmotype/director
nm0604335,Nanni Moretti,Cannes,http://m.imdb.com/name/nm0604335/filmotype/director
nm0000591,Roman Polanski,Cannes,http://m.imdb.com/name/nm0000591/filmotype/director
nm0001814,Gus Van Sant,Cannes,http://m.imdb.com/name/nm0001814/filmotype/director
nm0516360,Ken Loach,Cannes,http://m.imdb.com/name/nm0516360/filmotype/director
nm0359734,Michael Haneke,Cannes,http://m.imdb.com/name/nm0359734/filmotype/director
nm0000517,Terrence Malick,Cannes,http://m.imdb.com/name/nm0000517/filmotype/director
nm0444244,Abdellatif Kechiche,Cannes,http://m.imdb.com/name/nm0444244/filmotype/director
nm0002191,Jacques Audiard,Cannes,http://m.imdb.com/name/nm0002191/filmotype/director
nm0772259,John Schlesinger,Oscar,http://m.imdb.com/name/nm0772259/filmotype/director
nm0001243,William Friedkin,Oscar,http://m.imdb.com/name/nm0001243/filmotype/director
nm0001232,Miloš Forman,Oscar,http://m.imdb.com/name/nm0001232/filmotype/director
nm0000814,John G. Avildsen,Oscar,http://m.imdb.com/name/nm0000814/filmotype/director
nm0000095,Woody Allen,Oscar,http://m.imdb.com/name/nm0000095/filmotype/director
nm0001047,Michael Cimino,Oscar,http://m.imdb.com/name/nm0001047/filmotype/director
nm0000914,Robert Benton,Oscar,http://m.imdb.com/name/nm0000914/filmotype/director
nm0000602,Robert Redford ,Oscar,http://m.imdb.com/name/nm0000602/filmotype/director
nm0000886,Warren Beatty,Oscar,http://m.imdb.com/name/nm0000886/filmotype/director
nm0000277,Richard Attenborough,Oscar,http://m.imdb.com/name/nm0000277/filmotype/director
nm0001628,Sydney Pollack ,Oscar,http://m.imdb.com/name/nm0001628/filmotype/director
nm0000231,Oliver Stone,Oscar,http://m.imdb.com/name/nm0000231/filmotype/director
nm0000934,Bernardo Bertolucci,Oscar,http://m.imdb.com/name/nm0000934/filmotype/director
nm0001469,Barry Levinson,Oscar,http://m.imdb.com/name/nm0001469/filmotype/director
nm0001129,Jonathan Demme,Oscar,http://m.imdb.com/name/nm0001129/filmotype/director
nm0000142,Clint Eastwood,Oscar,http://m.imdb.com/name/nm0000142/filmotype/director
nm0000229,Steven Spielberg,Oscar,http://m.imdb.com/name/nm0000229/filmotype/director
nm0000709,Robert Zemeckis,Oscar,http://m.imdb.com/name/nm0000709/filmotype/director
nm0005237,Anthony Minghella,Oscar,http://m.imdb.com/name/nm0005237/filmotype/director
nm0000116,James Cameron,Oscar,http://m.imdb.com/name/nm0000116/filmotype/director
nm0005222,Sam Mendes,Oscar,http://m.imdb.com/name/nm0005222/filmotype/director
