,nombre de votants,,"1,599,618",,,,,,,31.48,1.99,6.84,3.85,17.35,36.14,1.01,RESULTATS SUR LES VOTANTS,,,,
,nombre exprimés,,"1,578,415",,,,,,,31.90,2.02,6.93,3.91,17.58,36.63,1.02,RESULTATS SUR LES EXPRIMES,,,,
,nombre de blancs / nuls,,"21,203",,,,,,,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
,PARTICIPATION,,3.50%,,,,,,,"503,550","31,899","109,451","61,651","277,545","578,141","16,178","11,516","9,687","1,578,415","1,599,618","45,654,821"
REGION,CODE CIRCO,Circ. législative 2012,bvp_code,bvp_dept,bvp_cp,bvp nom,bvp adresse,bvp ville,bvp compadd,Manuel Valls,Sylvia Pinel,Vincent Peillon,François de Rugy,Arnaud Montebourg,Benoit Hamon,Jean-Luc Bennahmias,Blanc,Nul,Total des votes exprimés,Total votant,Total des inscrits
Auvergne Rhône Alpes,1 - 4,4,100001,1,1380,BAGE LA VILLE,RUE DE LA MAIRIE,BAGE LA VILLE,Mairie,136,11,41,18,221,142,6,1,4,575,580,"19,547"
Auvergne Rhône Alpes,1 - 5,5,100002,1,1500,AMBERIEU 1,PLACE DU CHAMP DE MARS,AMBERIEU EN BUGEY,Ecole Jules Ferry,77,10,16,15,51,85,0,1,5,254,260,"8,192"
Auvergne Rhône Alpes,1 - 5,5,100003,1,1500,AMBERIEU 2,PLACE DU CHAMP DE MARS,AMBERIEU EN BUGEY,Ecole Jules Ferry,56,4,5,2,46,65,4,1,1,182,184,"7,151"
Auvergne Rhône Alpes,1 - 3,3,100004,1,1200,BELLEGARDE 1,RUE VIALA,BELLEGARDE SUR VALSERINE,Salle Viala,41,5,6,1,49,65,1,0,1,168,169,"6,332"
Auvergne Rhône Alpes,1 - 3,3,100005,1,1200,BELLEGARDE 2,RUE VIALA,BELLEGARDE SUR VALSERINE,Salla Viala,42,2,2,1,40,53,1,2,0,141,143,"6,258"
Auvergne Rhône Alpes,1 - 4,4,100006,1,1000,BOURG ALPHONSE BAUDIN 1,2 RUE BRILLAT SAVARIN,BOURG EN BRESSE,Groupe scolaire Alphonse Baudin,79,2,11,7,49,86,3,3,3,237,243,"4,972"
Auvergne Rhône Alpes,1 - 4,4,100007,1,1000,BOURG ALPHONSE BAUDIN 2,2 RUE BRILLAT SAVARIN,BOURG EN BRESSE,Groupe scolaire Alphonse Baudin,39,10,21,8,27,62,3,6,0,170,176,"3,395"
Auvergne Rhône Alpes,1 - 4,4,100008,1,1000,BOURG LES VENNES 2,1 RUE LA FONTAINE,BOURG EN BRESSE,Groupe scolaire Les Vennes,64,6,13,8,40,43,1,0,0,175,175,"4,211"
Auvergne Rhône Alpes,1 - 4,4,100009,1,1000,BOURG LES VENNES 1,1 RUE LA FONTAINE,BOURG EN BRESSE,Groupe scolaire Les Vennes,95,8,20,11,53,87,1,1,3,275,279,"4,652"
Auvergne Rhône Alpes,1 - 1,1,100010,1,1000,BOURG CHARLES ROBIN 1,PLACE DU MAQUIS CNL ROMANS PETIT,BOURG EN BRESSE,Groups scolaire Charles Robin,70,8,17,5,47,49,2,1,3,198,202,"4,271"
Auvergne Rhône Alpes,1 - 1,1,100011,1,1000,BOURG CHARLES ROBIN 2,PLACE DU MAQUIS CNL ROMANS PETIT,BOURG EN BRESSE,Groupe scolaire Charles Robin,62,5,13,3,44,83,1,2,0,211,213,"5,058"
Auvergne Rhône Alpes,1 - 1,1,100012,1,1250,CEYZERIAT,RUE JEROME LALANDE,CEYZERIAT,1250,112,7,19,12,79,77,1,1,2,307,310,"7,334"
Auvergne Rhône Alpes,1 - 4,4,100013,1,1320,CHALAMONT,49 RUE DU BUGEY,CHALAMONT,"Ecole primaire, salle de psychomotricité",46,6,4,4,48,44,2,1,2,154,157,"4,695"
Auvergne Rhône Alpes,1 - 4,4,100014,1,1400,CHATILLON SUR CHALARONNE,AVENUE CLEMENT DESORMES,CHATILLON SUR CHALARONNE,Salle Montpensier,60,7,28,9,76,68,4,1,1,252,254,"9,877"
Auvergne Rhône Alpes,1 - 2,2,100015,1,1150,CHAZEY SUR AIN,2 PLACE DE LA MAIRIE,CHAZEY SUR AIN,Mairie,81,3,9,10,71,97,2,2,1,273,276,"13,751"
Auvergne Rhône Alpes,1 - 3,3,100016,1,1350,CULOZ,40 RUE DE LA MILLETTE,CULOZ,Salle Milvendre,45,3,9,5,54,84,6,2,2,206,210,"7,339"
Auvergne Rhône Alpes,1 - 3,3,100017,1,1210,FERNEY VOLTAIRE,AVENUE DES SPORTS,FERNEY VOLTAIRE,Grande salle du centre nautique,113,13,28,24,73,154,4,10,4,409,423,"6,917"
Auvergne Rhône Alpes,1 - 3,3,100018,1,1170,GEX,AVENUE PERDTEMPS,GEX,"Salle du souvenir, Halle Perdtemps",109,10,42,19,91,194,9,2,0,474,476,"18,250"
Auvergne Rhône Alpes,1 - 5,5,100019,1,1110,HAUTEVILLE LOMPNES,Place du Dr Rougy,HAUTEVILLE LOMPNES,Espace accueil de la salle des fêtes,45,3,10,2,36,51,2,1,0,149,150,"6,202"
Auvergne Rhône Alpes,1 - 2,2,100020,1,1800,MEXIMIEUX,RUE DE BEAUVALLON,MEXIMIEUX,Centre de loisirs municipal,120,6,21,11,92,170,5,5,2,425,432,"14,331"
Auvergne Rhône Alpes,1 - 2,2,100021,1,1700,MIRIBEL,17 RUE JOSEPH CARRE,MIRIBEL,Centre socio-culturel,112,6,34,20,64,128,3,1,4,367,372,"9,314"
Auvergne Rhône Alpes,1 - 5,5,100022,1,1640,JUJURIEUX,PLACE DE L HOTEL DE VILLE,JUJURIEUX,Salle des fêtes,57,11,11,7,32,56,0,1,0,174,175,"5,448"
