Dept,Circo,SUM of Manuel Valls,SUM of Sylvia Pinel,SUM of Vincent Peillon,SUM of François de Rugy,SUM of Arnaud Montebourg,SUM of Benoit Hamon,SUM of Jean-Luc Bennahmias,SUM of Blanc,SUM of Nul,SUM of Total des votes exprimés,% M VALLS,% S PINEL,% V PEILLON,% F DE RUGY,% A MONTEBOURG,% B HAMON,% JL BENNHAMIAS
1,1 - 4,783,70,191,95,748,830,36,19,17,2753,28.44,2.54,6.94,3.45,27.17,30.15,1.31
,1 - 5,365,36,66,45,249,462,8,5,10,1231,29.65,2.92,5.36,3.66,20.23,37.53,0.65
,1 - 3,586,50,157,82,463,834,31,17,12,2203,26.60,2.27,7.13,3.72,21.02,37.86,1.41
,1 - 1,768,64,139,80,654,683,14,8,14,2402,31.97,2.66,5.79,3.33,27.23,28.43,0.58
,1 - 2,776,44,165,110,538,965,25,21,15,2623,29.58,1.68,6.29,4.19,20.51,36.79,0.95
2,2 - 3,333,18,221,23,210,270,6,6,11,1081,30.80,1.67,20.44,2.13,19.43,24.98,0.56
,2 - 1,446,24,78,36,261,393,9,8,8,1247,35.77,1.92,6.26,2.89,20.93,31.52,0.72
,2 - 2,323,7,78,38,186,376,14,5,4,1022,31.60,0.68,7.63,3.72,18.20,36.79,1.37
,2 - 4,502,33,100,34,269,414,10,3,10,1362,36.86,2.42,7.34,2.50,19.75,30.40,0.73
,2 - 5,374,43,96,33,235,456,15,9,7,1252,29.87,3.43,7.67,2.64,18.77,36.42,1.20
3,3 - 3,618,77,89,67,389,586,16,12,15,1842,33.55,4.18,4.83,3.64,21.12,31.81,0.87
,3 - 1,572,23,74,67,483,635,18,11,9,1872,30.56,1.23,3.95,3.58,25.80,33.92,0.96
,3 - 2,603,52,92,59,427,495,16,13,12,1744,34.58,2.98,5.28,3.38,24.48,28.38,0.92
4,4 - 1,660,66,134,67,385,751,36,20,12,2099,31.44,3.14,6.38,3.19,18.34,35.78,1.72
,4 - 2,610,68,106,101,363,950,22,22,23,2220,27.48,3.06,4.77,4.55,16.35,42.79,0.99
5,5 - 2,323,42,70,41,179,479,9,6,6,1143,28.26,3.67,6.12,3.59,15.66,41.91,0.79
,5 - 1,571,54,137,75,354,754,25,7,14,1970,28.98,2.74,6.95,3.81,17.97,38.27,1.27
6,6 - 7,923,61,194,140,541,1025,32,19,12,2916,31.65,2.09,6.65,4.80,18.55,35.15,1.10
,6 - 4,415,25,96,45,235,386,23,6,6,1225,33.88,2.04,7.84,3.67,19.18,31.51,1.88
,6 - 6,537,28,93,54,240,421,15,8,5,1388,38.69,2.02,6.70,3.89,17.29,30.33,1.08
,6 - 8,500,30,90,46,285,460,26,5,6,1437,34.79,2.09,6.26,3.20,19.83,32.01,1.81
,6 - 2,539,38,125,71,295,547,26,8,6,1641,32.85,2.32,7.62,4.33,17.98,33.33,1.58
,6 - 9,627,37,145,87,340,672,22,15,8,1930,32.49,1.92,7.51,4.51,17.62,34.82,1.14
,6 - 3,613,37,124,62,306,591,21,8,4,1754,34.95,2.11,7.07,3.53,17.45,33.69,1.20
,6 - 1,1196,52,236,127,506,1072,30,21,8,3219,37.15,1.62,7.33,3.95,15.72,33.30,0.93
,6 - 5,451,18,85,41,205,317,9,4,7,1126,40.05,1.60,7.55,3.64,18.21,28.15,0.80
7,7 - 3,765,51,130,89,346,1012,28,23,17,2421,31.60,2.11,5.37,3.68,14.29,41.80,1.16
,7 - 1,613,39,97,49,261,657,19,13,11,1735,35.33,2.25,5.59,2.82,15.04,37.87,1.10
,7 - 2,570,31,80,72,294,673,21,7,6,1741,32.74,1.78,4.60,4.14,16.89,38.66,1.21
8,8 - 2,565,21,106,44,458,626,15,10,21,1835,30.79,1.14,5.78,2.40,24.96,34.11,0.82
,8 - 1,445,17,63,22,268,383,9,7,8,1207,36.87,1.41,5.22,1.82,22.20,31.73,0.75
,8 - 3,364,16,46,28,260,297,11,4,10,1022,35.62,1.57,4.50,2.74,25.44,29.06,1.08
9,9 - 1,1291,96,231,75,506,1000,50,67,24,3249,39.74,2.95,7.11,2.31,15.57,30.78,1.54
,9 - 2,1059,73,200,54,456,806,27,34,11,2675,39.59,2.73,7.48,2.02,17.05,30.13,1.01
10,10 - 2,489,19,94,54,315,469,22,14,16,1462,33.45,1.30,6.43,3.69,21.55,32.08,1.50
,10 - 1,347,19,85,37,208,326,22,4,4,1044,33.24,1.82,8.14,3.54,19.92,31.23,2.11
,10 - 3,430,28,74,32,276,443,21,6,10,1304,32.98,2.15,5.67,2.45,21.17,33.97,1.61
11,11 - 3,2047,138,233,100,723,1305,68,40,49,4614,44.36,2.99,5.05,2.17,15.67,28.28,1.47
,11 - 1,2202,129,319,117,825,1567,46,32,52,5205,42.31,2.48,6.13,2.25,15.85,30.11,0.88
,11 - 2,1410,213,259,81,531,1007,24,17,27,3525,40.00,6.04,7.35,2.30,15.06,28.57,0.68
12,12 - 1,1113,93,172,103,566,1155,24,17,22,3226,34.50,2.88,5.33,3.19,17.54,35.80,0.74
,12 - 3,579,53,78,56,285,701,19,9,10,1771,32.69,2.99,4.40,3.16,16.09,39.58,1.07
,12 - 2,965,120,188,75,439,963,31,17,22,2781,34.70,4.31,6.76,2.70,15.79,34.63,1.11
13,13 - 1,478,24,108,33,252,469,19,10,3,1383,34.56,1.74,7.81,2.39,18.22,33.91,1.37
,13 - 3,697,17,116,35,286,488,15,3,8,1654,42.14,1.03,7.01,2.12,17.29,29.50,0.91
,13 - 7,272,11,71,11,252,441,12,7,9,1070,25.42,1.03,6.64,1.03,23.55,41.21,1.12
,13 - 11,1350,86,286,157,734,1434,53,20,23,4100,32.93,2.10,6.98,3.83,17.90,34.98,1.29
,13 - 4,490,117,338,67,365,973,25,23,16,2375,20.63,4.93,14.23,2.82,15.37,40.97,1.05
,13 - 13,416,19,58,34,263,303,9,9,9,1102,37.75,1.72,5.26,3.09,23.87,27.50,0.82
,13 - 5,906,59,289,120,532,1619,64,17,12,3589,25.24,1.64,8.05,3.34,14.82,45.11,1.78
,13 - 12,605,31,140,76,418,591,19,5,3,1880,32.18,1.65,7.45,4.04,22.23,31.44,1.01
,13 - 2,1134,34,256,98,454,1134,39,16,10,3149,36.01,1.08,8.13,3.11,14.42,36.01,1.24
,13 - 14,1158,55,263,146,595,1254,38,29,23,3509,33.00,1.57,7.50,4.16,16.96,35.74,1.08
,13 - 6,945,45,155,70,389,736,35,10,9,2375,39.79,1.89,6.53,2.95,16.38,30.99,1.47
,13 - 10,1009,67,196,122,752,1084,64,25,52,3294,30.63,2.03,5.95,3.70,22.83,32.91,1.94
,13 - 16,894,53,129,73,513,757,21,22,38,2440,36.64,2.17,5.29,2.99,21.02,31.02,0.86
,13 - 9,203,8,43,22,100,200,7,3,2,583,34.82,1.37,7.38,3.77,17.15,34.31,1.20
,13 - 8,933,48,169,126,659,1001,29,45,26,2965,31.47,1.62,5.70,4.25,22.23,33.76,0.98
,13 - 15,732,39,160,79,403,735,29,15,20,2177,33.62,1.79,7.35,3.63,18.51,33.76,1.33
14,14 - 5,953,62,209,129,601,1338,41,24,16,3333,28.59,1.86,6.27,3.87,18.03,40.14,1.23
,14 - 1,1102,58,267,164,617,1604,33,29,14,3845,28.66,1.51,6.94,4.27,16.05,41.72,0.86
,14 - 4,1002,67,179,115,569,1099,28,16,36,3059,32.76,2.19,5.85,3.76,18.60,35.93,0.92
,14 - 6,594,45,147,87,402,867,17,17,9,2159,27.51,2.08,6.81,4.03,18.62,40.16,0.79
,14 - 2,1264,95,305,134,801,1975,48,36,22,4622,27.35,2.06,6.60,2.90,17.33,42.73,1.04
,14 - 3,632,52,144,65,428,816,21,21,14,2158,29.29,2.41,6.67,3.01,19.83,37.81,0.97
15,15 - 1,866,44,142,66,324,630,14,24,18,2086,41.51,2.11,6.81,3.16,15.53,30.20,0.67
,15 - 2,417,22,87,22,212,416,3,10,9,1179,35.37,1.87,7.38,1.87,17.98,35.28,0.25
16,16 - 3,374,20,56,42,249,385,14,8,6,1140,32.81,1.75,4.91,3.68,21.84,33.77,1.23
,16 - 1,676,38,151,54,381,778,14,28,18,2092,32.31,1.82,7.22,2.58,18.21,37.19,0.67
,16 - 2,431,14,130,46,265,481,6,4,10,1373,31.39,1.02,9.47,3.35,19.30,35.03,0.44
17,17 - 2,1289,87,247,151,735,1532,39,22,20,4080,31.59,2.13,6.05,3.70,18.01,37.55,0.96
,17 - 5,886,45,158,86,530,926,27,12,13,2658,33.33,1.69,5.94,3.24,19.94,34.84,1.02
