Region,Dept,SUM of Total des votes exprimés,SUM of Total votant,SUM of Manuel Valls,SUM of Sylvia Pinel,SUM of Vincent Peillon,SUM of François de Rugy,SUM of Arnaud Montebourg,SUM of Benoit Hamon,SUM of Jean-Luc Bennahmias,% M VALLS,% S PINEL,% V PEILLON,% F DE RUGY,% A MONTEBOURG,% B HAMON,% JL BENNHAMIAS
Auvergne Rhône Alpes,1,11212,11350,3278,264,718,412,2652,3774,114,29.24,2.35,6.40,3.67,23.65,33.66,1.02
NPDC Picardie,2,5964,6035,1978,125,573,164,1161,1909,54,33.17,2.10,9.61,2.75,19.47,32.01,0.91
Auvergne Rhône Alpes,3,5458,5530,1793,152,255,193,1299,1716,50,32.85,2.78,4.67,3.54,23.80,31.44,0.92
PACA,4,4319,4396,1270,134,240,168,748,1701,58,29.40,3.10,5.56,3.89,17.32,39.38,1.34
PACA,5,3113,3146,894,96,207,116,533,1233,34,28.72,3.08,6.65,3.73,17.12,39.61,1.09
PACA,6,16636,16792,5801,326,1188,673,2953,5491,204,34.87,1.96,7.14,4.05,17.75,33.01,1.23
Auvergne Rhône Alpes,7,5897,5974,1948,121,307,210,901,2342,68,33.03,2.05,5.21,3.56,15.28,39.72,1.15
Alsace Lorraine Champagne Ardennes,8,4064,4124,1374,54,215,94,986,1306,35,33.81,1.33,5.29,2.31,24.26,32.14,0.86
Languedoc Roussillon Midi -Pyrénées,9,5924,6060,2350,169,431,129,962,1806,77,39.67,2.85,7.28,2.18,16.24,30.49,1.30
Alsace Lorraine Champagne Ardennes,10,3810,3864,1266,66,253,123,799,1238,65,33.23,1.73,6.64,3.23,20.97,32.49,1.71
Languedoc Roussillon Midi -Pyrénées,11,13344,13561,5659,480,811,298,2079,3879,138,42.41,3.60,6.08,2.23,15.58,29.07,1.03
Languedoc Roussillon Midi -Pyrénées,12,7778,7875,2657,266,438,234,1290,2819,74,34.16,3.42,5.63,3.01,16.59,36.24,0.95
PACA,13,37645,38167,12222,713,2777,1269,6967,13219,478,32.47,1.89,7.38,3.37,18.51,35.11,1.27
Normandie,14,19176,19430,5547,379,1251,694,3418,7699,188,28.93,1.98,6.52,3.62,17.82,40.15,0.98
Auvergne Rhône Alpes,15,3265,3326,1283,66,229,88,536,1046,17,39.30,2.02,7.01,2.70,16.42,32.04,0.52
Aquitaine Limousin Poitou Charentes,16,4605,4679,1481,72,337,142,895,1644,34,32.16,1.56,7.32,3.08,19.44,35.70,0.74
Aquitaine Limousin Poitou Charentes,17,16975,17171,5583,382,1152,625,2967,6093,173,32.89,2.25,6.79,3.68,17.48,35.89,1.02
Centre Val de Loire,18,5760,5814,1730,100,344,165,1511,1863,47,30.03,1.74,5.97,2.86,26.23,32.34,0.82
Aquitaine Limousin Poitou Charentes,19,5187,5320,1958,91,437,162,766,1731,42,37.75,1.75,8.42,3.12,14.77,33.37,0.81
Bourgogne Franche Comté,21,14380,14576,4030,327,1106,530,3960,4280,147,28.03,2.27,7.69,3.69,27.54,29.76,1.02
Bretagne,22,22506,22773,7498,417,1036,907,3408,9017,223,33.32,1.85,4.60,4.03,15.14,40.06,0.99
Aquitaine Limousin Poitou Charentes,23,3346,3388,1057,41,159,63,633,1371,22,31.59,1.23,4.75,1.88,18.92,40.97,0.66
Aquitaine Limousin Poitou Charentes,24,12039,12257,4112,245,693,347,2275,4249,118,34.16,2.04,5.76,2.88,18.90,35.29,0.98
Bourgogne Franche Comté,25,10946,11093,3539,215,666,420,2125,3867,114,32.33,1.96,6.08,3.84,19.41,35.33,1.04
Auvergne Rhône Alpes,26,13554,13744,4251,286,822,554,2303,5164,174,31.36,2.11,6.06,4.09,16.99,38.10,1.28
Normandie,27,10440,10564,3192,225,687,397,2073,3755,111,30.57,2.16,6.58,3.80,19.86,35.97,1.06
Centre Val de Loire,28,7927,8035,2636,230,484,293,1500,2703,81,33.25,2.90,6.11,3.70,18.92,34.10,1.02
Bretagne,29,35780,36227,11112,558,1647,1344,4207,16627,285,31.06,1.56,4.60,3.76,11.76,46.47,0.80
Languedoc Roussillon Midi -Pyrénées,30,17508,17717,5885,417,1005,585,3256,6185,175,33.61,2.38,5.74,3.34,18.60,35.33,1.00
Languedoc Roussillon Midi -Pyrénées,31,50586,51233,16360,1155,3656,1791,8519,18657,448,32.34,2.28,7.23,3.54,16.84,36.88,0.89
Languedoc Roussillon Midi -Pyrénées,32,7136,7231,2548,226,427,178,1099,2581,77,35.71,3.17,5.98,2.49,15.40,36.17,1.08
Aquitaine Limousin Poitou Charentes,33,49876,50630,15879,882,3418,1916,8270,19022,489,31.84,1.77,6.85,3.84,16.58,38.14,0.98
Languedoc Roussillon Midi -Pyrénées,34,34063,34487,11035,797,2108,1107,5981,12706,329,32.40,2.34,6.19,3.25,17.56,37.30,0.97
Bretagne,35,37724,38131,10834,648,2463,1716,5437,16286,340,28.72,1.72,6.53,4.55,14.41,43.17,0.90
Centre Val de Loire,36,4403,4471,1424,81,270,130,933,1522,43,32.34,1.84,6.13,2.95,21.19,34.57,0.98
Centre Val de Loire,37,16770,16959,5159,288,1108,624,3329,6097,165,30.76,1.72,6.61,3.72,19.85,36.36,0.98
Auvergne Rhône Alpes,38,34189,34672,10799,676,2374,1376,5794,12835,335,31.59,1.98,6.94,4.02,16.95,37.54,0.98
Bourgogne Franche Comté,39,4811,4855,1299,74,286,147,1388,1553,64,27.00,1.54,5.94,3.06,28.85,32.28,1.33
Aquitaine Limousin Poitou Charentes,40,12854,13036,4160,208,820,307,1920,5319,120,32.36,1.62,6.38,2.39,14.94,41.38,0.93
Centre Val de Loire,41,6942,7029,2228,153,348,281,1216,2646,70,32.09,2.20,5.01,4.05,17.52,38.12,1.01
Auvergne Rhône Alpes,42,14521,14697,4434,280,840,485,2837,5530,115,30.54,1.93,5.78,3.34,19.54,38.08,0.79
Auvergne Rhône Alpes,43,2878,2904,898,51,142,109,557,1094,27,31.20,1.77,4.93,3.79,19.35,38.01,0.94
Pays de la Loire,44,50322,50951,13606,699,3294,4440,7511,20343,429,27.04,1.39,6.55,8.82,14.93,40.43,0.85
Centre Val de Loire,45,14656,14840,5045,295,1027,551,2604,4981,153,34.42,2.01,7.01,3.76,17.77,33.99,1.04
Languedoc Roussillon Midi -Pyrénées,46,4435,4520,1560,195,255,150,719,1506,50,35.17,4.40,5.75,3.38,16.21,33.96,1.13
Aquitaine Limousin Poitou Charentes,47,5050,5132,1778,137,341,150,884,1722,38,35.21,2.71,6.75,2.97,17.50,34.10,0.75
Languedoc Roussillon Midi -Pyrénées,48,2114,2153,764,60,93,65,337,776,19,36.14,2.84,4.40,3.07,15.94,36.71,0.90
Pays de la Loire,49,18788,19043,5978,310,1307,926,2862,7230,175,31.82,1.65,6.96,4.93,15.23,38.48,0.93
Normandie,50,12951,13094,3903,222,782,412,2442,5013,177,30.14,1.71,6.04,3.18,18.86,38.71,1.37
Alsace Lorraine Champagne Ardennes,51,8071,8151,2585,163,584,289,1565,2793,92,32.03,2.02,7.24,3.58,19.39,34.61,1.14
Alsace Lorraine Champagne Ardennes,52,2368,2390,763,47,149,83,533,779,14,32.22,1.98,6.29,3.51,22.51,32.90,0.59
Pays de la Loire,53,5831,5936,1968,117,374,302,907,2104,59,33.75,2.01,6.41,5.18,15.55,36.08,1.01
Alsace Lorraine Champagne Ardennes,54,15433,15590,4861,255,930,484,2797,5920,186,31.50,1.65,6.03,3.14,18.12,38.36,1.21
Alsace Lorraine Champagne Ardennes,55,2959,2995,1180,56,163,108,472,930,50,39.88,1.89,5.51,3.65,15.95,31.43,1.69
Bretagne,56,23276,23546,8021,385,1212,1031,3385,8983,259,34.46,1.65,5.21,4.43,14.54,38.59,1.11
Alsace Lorraine Champagne Ardennes,57,14761,14921,4791,221,928,445,3303,4913,160,32.46,1.50,6.29,3.01,22.38,33.28,1.08
Bourgogne Franche Comté,58,5900,5983,1680,85,262,146,2150,1522,55,28.47,1.44,4.44,2.47,36.44,25.80,0.93
NPDC Picardie,59,39478,40039,11737,709,2614,1299,6739,15952,428,29.73,1.80,6.62,3.29,17.07,40.41,1.08
NPDC Picardie,60,11134,11262,3466,255,711,372,2191,4047,92,31.13,2.29,6.39,3.34,19.68,36.35,0.83
Normandie,61,5731,5807,1909,121,440,246,957,1988,70,33.31,2.11,7.68,4.29,16.70,34.69,1.22
NPDC Picardie,62,22143,22627,7764,482,1248,532,4190,7680,247,35.06,2.18,5.64,2.40,18.92,34.68,1.12
Auvergne Rhône Alpes,63,5592,5663,1813,136,319,159,1027,2092,46,32.42,2.43,5.70,2.84,18.37,37.41,0.82
Aquitaine Limousin Poitou Charentes,64,17833,18083,6200,327,1143,568,2707,6732,156,34.77,1.83,6.41,3.19,15.18,37.75,0.87
Languedoc Roussillon Midi -Pyrénées,65,7258,7339,2744,238,444,224,1175,2349,84,37.81,3.28,6.12,3.09,16.19,32.36,1.16
