Departements,Code circo,,,% M VALLS,% S PINEL,% V PEILLON,% F DE RUGY,% A MONTEBOURG,% B HAMON,% JL BENNHAMIAS
1,1|1,,,31.97,2.664,5.786,3.33,27.22,28.43,0.58
,1|2,,,29.58,1.677,6.29,4.193,20.51,36.78,0.95
,1|3,,,26.6,2.269,7.126,3.722,21.01,37.85,1.4
,1|4,,,28.44,2.542,6.937,3.45,27.17,30.14,1.3
,1|5,,,29.65,2.924,5.361,3.655,20.22,37.53,0.64
2,2|1,,,35.76,1.924,6.255,2.886,20.93,31.51,0.72
,2|2,,,31.6,0.684,7.632,3.718,18.19,36.79,1.36
,2|3,,,29.44,1.618,22.43,2.157,18.66,25.13,0.53
,2|4,,,36.85,2.422,7.342,2.496,19.75,30.39,0.73
,2|5,,,29.87,3.434,7.667,2.635,18.76,36.42,1.19
3,3|1,,,30.55,1.228,3.952,3.579,25.8,33.92,0.96
,3|2,,,34.57,2.981,5.275,3.383,24.48,28.38,0.91
,3|3,,,33.55,4.18,4.831,3.637,21.11,31.81,0.86
4,4|1,,,31.44,3.144,6.383,3.191,18.34,35.77,1.71
,4|2,,,27.47,3.063,4.774,4.549,16.35,42.79,0.99
5,5|1,,,28.98,2.741,6.954,3.807,17.96,38.27,1.26
,5|2,,,28.25,3.674,6.124,3.587,15.66,41.9,0.78
6,6|1,,,37.15,1.615,7.331,3.945,15.71,33.3,0.93
,6|2,,,32.84,2.315,7.617,4.326,17.97,33.33,1.58
,6|3,,,34.94,2.109,7.069,3.534,17.44,33.69,1.19
,6|4,,,33.87,2.04,7.836,3.673,19.18,31.51,1.87
,6|5,,,40.01,1.597,7.542,3.637,18.18,28.21,0.79
,6|6,,,38.68,2.017,6.7,3.89,17.29,30.33,1.08
,6|7,,,31.65,2.091,6.652,4.801,18.55,35.15,1.09
,6|8,,,34.74,2.084,6.323,3.196,19.87,31.96,1.8
,6|9,,,32.48,1.917,7.512,4.507,17.61,34.81,1.13
7,7|1,,,35.33,2.247,5.59,2.824,15.04,37.86,1.09
,7|2,,,32.73,1.78,4.595,4.135,16.88,38.65,1.2
,7|3,,,31.59,2.106,5.369,3.676,14.29,41.8,1.15
8,8|1,,,36.86,1.408,5.219,1.822,22.2,31.73,0.74
