id,path,name,link,date,description,licence,separator
0,La concentration des pouvoirs chez les Républicains.csv,La concentration des pouvoirs chez les Républicains,http://www.lemonde.fr/les-decodeurs/article/2016/11/09/pour-la-6e-fois-en-un-siecle-aux-etats-unis-les-republicains-vont-tenir-tous-les-leviers-du-pouvoir_5028220_4355770.html,2016/11/09,"Domination des lieux de pouvoir américains (Maison Blanche, Chambre des représentants et Sénat) par les Démocrates et les Républicains de 1900 à 2016",CC BY SA 3.0,
1,Indice_atmo_agglo_parisienne.csv,Historique de la qualité de l'air dans l'agglomération parisienne,http://www.lemonde.fr/les-decodeurs/article/2016/12/07/visualisez-la-qualite-de-l-air-dans-l-agglomeration-parisienne-depuis-le-1er-janvier-2002_5044975_4355770.html,07/12/2016,Janvier 2012 à décembre 2016 : évolution de la qualité de l'air dans l'agglomération parisienne,CC BY SA 3.0,
2,Chiffres-clés budget PLF 2017.ods,Chiffres-clés budget PLF 2017,http://www.lemonde.fr/les-decodeurs/article/2016/09/29/ou-va-l-argent-de-l-etat-visualisez-en-un-coup-d-il-le-budget-2017_5005405_4355770.html,2016/11/23,Les chiffres-clés du projet de loi de finances (PLF) 2017 montrant la répartition des différents budgets,CC BY SA 3.0,
3,Comptes de campagne de la primaire de droite.ods,Comptes de campagne de la primaire de droite,http://www.lemonde.fr/les-decodeurs/article/2016/12/22/primaire-de-la-droite-ce-que-les-comptes-racontent-de-la-campagne_5052894_4355770.html,2016/12/21,Les comptes de campagne des sept candidats à la primaire de la droite publiés par la Haute Autorité,CC BY SA 3.0,
4,resultats_primaires_gauche_T1.xlsx,"La primaire de gauche, tour 1 (85% des bureaux)",http://www.lemonde.fr/les-decodeurs/article/2017/01/23/primaire-de-la-gauche-les-cartes-des-resultats-par-circonscription_5067296_4355770.html,2017/01/23,"Résultats du premier tour de la primaire de la gauche, en % par circonscription",CC BY SA 3.0,
5,Resultats Primaire T1 95pct.xlsx,"La primaire de gauche, tour 1 (95% des bureaux)",,24/01/17,"Résultats du premier tour de la primaire de la gauche, résultats bruts par bureau de vote",CC BY SA 3.0,
6,Assistants parlementaires députés février 2017.ods,Assistants parlementaires des députés et liens familiaux (février 2017),http://www.lemonde.fr/les-decodeurs/article/2017/02/27/enfants-epoux-suppleants-un-depute-sur-six-emploie-un-proche-comme-collaborateur_5086315_4355770.html,24/02/17,Données agrégées sur les assistants parlementaires des députés et leurs éventuels liens familiaux,CC BY SA 3.0,
7,liste_realisateurs.csv, Liste de réalisateurs selon plusieurs classements (mai 2017),http://www.lemonde.fr/les-decodeurs/article/2017/05/19/le-troisieme-film-de-votre-realisateur-prefere-est-probablement-le-meilleur_5130478_4355770.html,16/05/17, Données agrégées de réalisateurs selon le classement BFI ou des récompenses à Cannes ou aux Oscar,CC BY SA 3.0,
8, liste_films_notes.csv, Liste de films des réalisateurs-trices sélectionnés (mai 2017),http://www.lemonde.fr/les-decodeurs/article/2017/05/19/le-troisieme-film-de-votre-realisateur-prefere-est-probablement-le-meilleur_5130478_4355770.html,16/05/17, Données agrégées des films des 110 réalisateurs retenus avec notes et nombre de votants,CC BY SA 3.0,
9, quisontvosdeputes.csv, Qui sont vos députés ?,http://www.lemonde.fr/politique/article/2017/06/28/qui-est-mon-depute-notre-moteur-de-recherche-pour-mieux-connaitre-votre-representant-a-l-assemblee-nationale_5152291_823448.html,28/06/17, Données récoltées par Le Monde sur les 577 députés élus lors des législatives de juin 2017 dans le cadre de l'enquête #QuiSontVosDeputes,CC BY SA 3.0,
10, départements traversés par le Tour de France 1903-2017, Les départements traversés par le Tour depuis 1903,http://www.lemonde.fr/les-decodeurs/article/2017/06/29/combien-de-fois-le-tour-de-france-a-t-il-traverse-votre-departement_5153251_4355770.html,01/07/17, Données récoltées par Le Monde sur les départements traversés par le Tour de France lors des 104 éditions de 1903 à 2017,CC BY SA 3.0
